mission_id,test_model,test_weight,test_seed,test_method,timeout,mission_status
1111,Vgg19,vgg19.pth,imagenet,FGSM,3600,1
1112,Vgg19,vgg19.pth,imagenet,FGSM,3600,1
13308211514,Vgg19,vgg19.pth,imagenet,FGSM,3600,1
1333,facenet,20180402-114759-vggface2.pt,imagenet,FGSM,3600,2
1222,Vgg16,vgg16.pth,imagenet,FGSM,3600,1
3339,alexnet,alexnet-owt-4df8aa71.pth,imagenet,GAN,3600,2
3330,alexnet,alexnet-owt-4df8aa71.pth,imagenet,GAN,3600,2
1456,alexnet,alexnet-owt-4df8aa71.pth,imagenet,GAN,3600,2
1451,alexnet,alexnet-owt-4df8aa71.pth,imagenet,GAN,3600,2
1450,alexnet,alexnet-owt-4df8aa71.pth,imagenet,GAN,3600,1
1455,alexnet,alexnet-owt-4df8aa71.pth,imagenet,GAN,3600,2
1460,facenet,20180402-114759-vggface2.pt,imagenet,GAN,3600,2
1461,facenet,20180402-114759-vggface2.pt,imagenet,GAN,3600,2
1555,alexnet,alexnet-owt-4df8aa71.pth,imagenet,FGSM,3600,2
1478,facenet,20180402-114759-vggface2.pt,imagenet,FGSM,3600,2
1479,facenet,20180402-114759-vggface2.pt,imagenet,FGSM,3600,2
1476,facenet,20180402-114759-vggface2.pt,imagenet,FGSM,3600,2
1490,facenet,20180402-114759-vggface2.pt,imagenet,FGSM,3600,2
